start	target	type
Interactive Art 1998	Iain Mott	awarded
Computer Animation / Visual Effects 2004	Morio Kishida	awarded
Computer Animation / Film / VFX 2009		awarded
Computer Animation / Visual Effects 1999	Vincent Ward	awarded
Digital Musics 2000	Kaffe Matthew	awarded
Philippe Quéau	Computer Graphics 1993	jurymember in
Trevor Wishart	Computer Music 1993	jurymember in
Computer Animation 1990	Jeff Kleiser	awarded
Herbert W. Franke	Computer Graphics 1990	jurymember in
u19-freestyle computing 2005	Creative Minds	awarded
cybergeneration-u19 freestyle computing 2003	HS Steinerkirchen	awarded
Roger Frank Malina	Interactive Art 1992	jurymember in
Interactive Art 2005	Ichikawa Sota; Sota Ichikawa	awarded
Rolf Herken	Computer Animation 1997	jurymember in
Irmgard Oberhauser	u19 - freestyle computing 2008	jurymember in
Net Vision 2005	ubermorgen	awarded
Computer Music 1994	Ludger Brümmer	awarded
Net Vision 2006	Wayne Clements	awarded
Interactive Art 2009	Stefan Kaegi	awarded
Digital Musics 2003	Rechenzentrum	awarded
Interactive Art 2001	Albert Bleckmann	awarded
Rolf Herken	Computer Graphics 1993	jurymember in
Naut Humon	Computer Music 1997	jurymember in
Net Vision / Net Excellence 2001	Ranjit Bhatnagar	awarded
Computer Animation / Visual Effects 1998	Robert Legato	awarded
Computer Music 1998	Bret Battey	awarded
.net 1998	James Stevens	awarded
u19-freestyle computing 2005	Philip Narovec	awarded
Sirikit Amann	u19 – freestyle computing 2009	jurymember in
Computer Animation/VFX/Film 2008		awarded
.net 1999	CAAD - ETH Zürich	awarded
Digital Musics 2009	Helmut Mittermaier	awarded
Hybrid Art 2009	Max Rheiner	awarded
cybergeneration-u19 freestyle computing 2000	Gottfried Haider	awarded
Digital Musics 2002	Carl Michael von Hausswolff	awarded
Digital Musics 2009	Thomas Grill	awarded
Interactive Art 2009	Jens Wunderling	awarded
Interactive Art 2009	Kim Beck	awarded
Interactive Art 1994	Teri Yarbrow	awarded
Interactive Art 2004	Osman Khan	awarded
Digital Communities 2005	The Institute for Applied Autonomy	awarded
Computer Animation 1995	Thomas Bayrle	awarded
Interactive Art 2002	Ryota Kuwakubo	awarded
Computer Animation / Visual Effects 2001	Bob Sabiston	awarded
David Blair	World Wide Web 1996	jurymember in
Günther Nimmerfall	u19 - freestyle computing 2007	jurymember in
Digital Musics 2006	*Es	awarded
Interactive Art 1990	Ruth Schnell	awarded
Hubert Bognermayr	Computer Animation 1988	jurymember in
Hiroshi Ishii	Interactive Art 2002	jurymember in
Computer Music 1992	Wayne Siegel	awarded
Joichi Ito	.net 1999	jurymember in
Derrick de Kerckhove	World Wide Web 1995	jurymember in
Masaki Fujihata	Interactive Art 2006	jurymember in
Interactive Art 1998	Uli Winters	awarded
u19 - freestyle computing 2007	Tobias Mattner	awarded
.net 2000	Jie Geng	awarded
Computer Graphics 1994	Loren Carpenter	awarded
u19-freestyle computing 2004	Franz Gruber	awarded
Computer Animation / Visual Effects 2000	Marcus Salzmann	awarded
Computer Animation / Visual Effects 2001	Ralph Eggleston	awarded
Digital Musics 2009	Tristan Perich	awarded
Computer Animation 1993	Jules Bister	awarded
Digital Musics 2008	Pamela Z	awarded
Digital Musics 2005	Louis-Philippe Demers	awarded
Computer Animation / Visual Effects 2004	Chris Landreth	awarded
Jean-Baptiste Barrière	Computer Music 1989	jurymember in
.net 1999	Eric Loyer	awarded
Computer Graphics 1994	Pascal Dombis	awarded
Martin Nürnberger	cybergeneration-u19 freestyle computing 2003	jurymember in
Net Vision 2006	exonemo	awarded
Computer Graphics 1987	Elizabeth Rosenzweig-Knichen	awarded
Loren Carpenter	Computer Animation 1988	jurymember in
Computer Animation / Visual Effects 2003	Eric Armstrong	awarded
Computer Animation 1990	John Lasseter	awarded
cybergeneration-u19 freestyle computing 2003	Alexandra Voglreiter	awarded
Computer Animation 1988	Isabelle Foucher	awarded
Computer Animation/VFX/Film 2008	Masahiro Miwa	awarded
cybergeneration-u19 freestyle computing 2002	sofa23	awarded
Christopher Lindinger	u19-freestyle computing 2005	jurymember in
Computer Animation / Visual Effects 1998	Alain Thibault	awarded
u19 - freestyle computing 2006	Magdalena Wurm	awarded
Digital Communities 2005	Mick Souder	awarded
Interactive Art 1996	Ken Feingold	awarded
Computer Graphics 1991	Tiziana Stanzani	awarded
Computer Music 1988	Alejandro Viñao	awarded
Interactive Art 1991	Kristi Allik	awarded
Computer Animation / Visual Effects 1998	Constantin Chamski	awarded
Computer Animation / Visual Effects 1998	Sébastien Larrue	awarded
u19 - freestyle computing 2007	Julia Krumbiegel	awarded
Interactive Art 1991	David Eagle	awarded
cybergeneration-u19 freestyle computing 2001	Conrad Tambour	awarded
Computer Animation / Film / VFX 2009		awarded
TNC Network	Net Vision / Net Excellence 2002	jurymember in
Interactive Art 1990	Kyoko Abe	awarded
Interactive Art 2003	Volker Böhm	awarded
Chen Qiangbin	Digital Musics 2008	jurymember in
Computer Graphics 1987	Jürgen Lit Fischer	awarded
Interactive Art 2005	Keith Armstrong	awarded
Oswald Oberhuber	Computer Animation 1988	jurymember in
Mark Dippé	Computer Animation/Visual Effects 2006	jurymember in
cybergeneration-u19 freestyle computing 2000	Mario Meir-Huber	awarded
Interactive Art 2002	Golan Levin	awarded
Digital Musics 2003	Phill Niblock	awarded
u19 - freestyle computing 2007	Daniel Robinig	awarded
u19 – freestyle computing 2009	Johannes Masanz	awarded
Computer Music 1989	Wolfgang Heiniger	awarded
Interactive Art 2001	Edwin van der Heide	awarded
Digital Communities 2005	Richard Stallman	awarded
Computer Music 1997	Åke Parmerud	awarded
etoy.TAKI	cybergeneration-u19 freestyle computing 1998	jurymember in
Rolf Herken	Computer Animation 1993	jurymember in
Computer Animation/VFX/Film 2008	Dr. Tim Halliday	awarded
Computer Animation/VFX/Film 2008	Chico MacMurtrie	awarded
Computer Animation/Visual Effects 2005	Thibault Berland	awarded
Interactive Art 2009	Florian Ortkrass	awarded
cybergeneration-u19 freestyle computing 1998	Verena Holzknecht	awarded
Fumihiko Sumitomo	Interactive Art 2005	jurymember in
World Wide Web 1995		awarded
Interactive Art 1993	Horst Prehn	awarded
Tina Auer	u19-freestyle computing 2004	jurymember in
Computer Animation / VFX / Film 2007	Hal Hickel	awarded
Computer Animation/Visual Effects 2006	Thomas Leonard	awarded
Digital Communities 2005	Eric Castaing	awarded
Paolo Calcagno	Computer Music 1988	jurymember in
Computer Animation 1995	Ben Stassen	awarded
Computer Animation / Visual Effects 1998	MOVIDA	awarded
Interactive Art 1991	Stephen Wilson	awarded
Computer Graphics 1991	Dick Ibach	awarded
Interactive Art 2003	Marcel.lí Antúnez Roca	awarded
Interactive Art 1992	Henry W. See	awarded
Computer Animation 1992	Steve Williams	awarded
Computer Graphics 1991	John Adamczyk	awarded
Hybrid Art 2009	BCL / Georg Tremmel	awarded
Computer Animation 1990	Eihachiro Nakamae	awarded
Interactive Art 1991	Robert Mulder	awarded
Oliver Frommel	World Wide Web 1996	jurymember in
Digital Musics 2004	Alvin Curran	awarded
DJ Spooky That Subliminal Kid	Digital Musics 2008	jurymember in
Yukiko Shikata	Interactive Art 2000	jurymember in
Interactive Art 2000	Douglas Edric Stanley	awarded
Computer Music 1993	Francis Dhomont	awarded
Digital Musics 1999	Vincent Thierion	awarded
Hybrid Art 2007	Pedro Tudela	awarded
u19 – freestyle computing 2009	Fabian Todt	awarded
Interactive Art 1998	Tom White	awarded
Interactive Art 1996	Elizabeth Goldring	awarded
Interactive Art 2003	Marie Sester	awarded
Net Vision / Net Excellence 2003	Lia	awarded
Computer Music 1995	Flo Menezes	awarded
Lara Srivastava	Digital Communities 2006	jurymember in
Interactive Art 1997	Jutta Kirchgeorg	awarded
Computeranimation / Visual Effects 2002	Yasuhiro Yoshiura	awarded
Computer Animation / Visual Effects 2004	Jérémie Droulers	awarded
William Buxton	Computer Music 1989	jurymember in
Net Vision 2005	Layla Curtis	awarded
Digital Musics 2006	Satanicpornocultshop	awarded
Digital Musics 2006	Sabine Breitsameter	awarded
.net 1998	Sue Johnson	awarded
Digital Musics 2006	Nikolaus Gansterer	awarded
Steve Rogers	Net Vision 2004	jurymember in
Sirikit Amann	u19 - freestyle computing 2006	jurymember in
Computer Animation 1989	Franc Curk	awarded
Computer Animation / Visual Effects 1998	Yan Breuleux	awarded
Net Vision 2004	Francis Lam	awarded
Computer Animation / Visual Effects 1998	Rob Coleman	awarded
cybergeneration-u19 freestyle computing 2002	Lucas Reeh	awarded
Digital Musics 2000	Matmos	awarded
Net Vision 2005	lizvlx	awarded
Computer Animation / Visual Effects 1999	POP	awarded
Michael Jensen	Digital Communities 2004	jurymember in
William Buxton	Interactive Art 1990	jurymember in
Digital Communities 2007	José Marcelo Zacchi	awarded
Peter Higgins	Interactive Art 2004	jurymember in
Digital Musics 2009	Robin Meier	awarded
Interactive Art 2002	Rafael Lozano-Hemmer	awarded
Computer Animation 1996	James Duesing	awarded
Computer Music 1998	Luigi Ceccarelli	awarded
Computer Animation/Visual Effects 2006	PIXAR	awarded
Computer Graphics 1989	Andrzej Pagowski	awarded
Computer Graphics 1993	Stefan Mück	awarded
Computer Animation 1992	Marc Raibert	awarded
Interactive Art 1995	Peter DAgostino	awarded
Digital Musics 2007	Jorge Isaac	awarded
Interactive Art 2000	Jason E. Lewis	awarded
cybergeneration-u19 freestyle computing 1998	Thomas Pintaric	awarded
Robin Rimbaud	Digital Musics 1999	jurymember in
Computer Graphics 1988	Massimo Ontani	awarded
cybergeneration-u19 freestyle computing 2000	Lukas Pilat	awarded
Computer Graphics 1987	Zelko Wiener	awarded
World Wide Web 1995	Bonnie Mitchell	awarded
Hybrid Art 2009	Dmitry Gelfand	awarded
Chris Bregler	Computer Animation / Film / VFX 2009	jurymember in
Interactive Art 2008	Jun Fujiki	awarded
Scott S. Fisher	Interactive Art 1993	jurymember in
Interactive Art 2005	Peter Brinson	awarded
cybergeneration-u19 freestyle computing 1999	Simon Oberhammer	awarded
Computer Animation / Visual Effects 2000	Juliette Marchand	awarded
Hybrid Art 2009	Tim Otto Roth	awarded
Computer Graphics 1993	Thomas Bayrle	awarded
A. J. Mitchell	Computer Graphics 1993	jurymember in
cybergeneration-u19 freestyle computing 1998	Martin Ankerl	awarded
Computer Animation 1991	Michael Tolson	awarded
Computer Animation 1995	Alexei Tylevich	awarded
Interactive Art 2008	Jeff Lieberman	awarded
John F. Simon	.net 1998	jurymember in
cybergeneration-u19 freestyle computing 2002	Dominik Jais	awarded
.net 1997	Markus Schulthess	awarded
World Wide Web 1995	Scott B. Gregory	awarded
u19 - freestyle computing 2007	Maik Groß	awarded
Digital Musics 2007	BJ Nilsen	awarded
Digital Musics 2008	Qin Yi	awarded
Barbara Robertson	Computer Animation / Visual Effects 1999	jurymember in
Computer Music 1997	Matt Heckert	awarded
Computer Animation / Visual Effects 2001	Casey Hess	awarded
Interactive Art 1992	Simone Simons	awarded
cybergeneration-u19 freestyle computing 1998	Thomas Oberhofer	awarded
John Landsdown	Computer Graphics 1990	jurymember in
Digital Musics 2009	Ali Momeni	awarded
Rebecca Allen	Computer Animation 1992	jurymember in
.net 2000	Ursula Hentschläger	awarded
Interactive Art 2002	Gregory Shakar	awarded
Computer Animation 1989	Mario Canali	awarded
Computer Animation/VFX/Film 2008	#N/A	awarded
Mark Dippé	Computer Animation / Visual Effects 2000	jurymember in
Digital Musics 1999	Terre Thaemlitz	awarded
Interactive Art 1996	Silver	awarded
Interactive Art 2001	Shinji Sasada	awarded
Computer Animation/VFX/Film 2008		awarded
Digital Musics 2007	Takashi Ikegami	awarded
Digital Musics 2008	Ramón González-Arroyo	awarded
Joichi Ito	Net Vision / Net Excellence 2002	jurymember in
u19 - freestyle computing 2007	Martina Garstenauer	awarded
Computer Animation / Visual Effects 1998	Wayne Gilbert	awarded
Computer Music 1992	Philipp K. Bimstein	awarded
Computer Graphics 1987	Michael Hafner	awarded
Computer Animation / Film / VFX 2009		awarded
Hybrid Art 2009	John Rothenberg	awarded
Computer Animation 1991	James Duesing	awarded
Digital Musics 2007	Clara Maida	awarded
Interactive Art 2004	David Moises	awarded
Interactive Art 1992	William Seaman	awarded
Herbert W. Franke	Computer Animation 1990	jurymember in
Interactive Art 1995	Michael Tolson	awarded
Interactive Art 2003	Jussi Angeslevä	awarded
Digital Communities 2004	NYCwireless	awarded
Computer Animation / Visual Effects 1999	Heure Exquise!	awarded
Interactive Art 1997	Mark Madel	awarded
cybergeneration-u19 freestyle computing 2003	Georg Sochurek	awarded
Digital Musics 2001	Mille Plateaux	awarded
u19 - freestyle computing 2007	Matthäus Spindelböck	awarded
Net Vision / Net Excellence 2002	Francis Lam	awarded
Oliviero Toscani	Digital Communities 2004	jurymember in
u19 - freestyle computing 2006	Nana Susanne Thurner	awarded
World Wide Web 1996	Ron Newman	awarded
Computer Graphics 1993	Laurens Lapré	awarded
Computer Animation/Visual Effects 2005	PIXAR	awarded
Computer Animation / Visual Effects 2000	Jérôme Calvet	awarded
Digital Musics 2001	J Lesser	awarded
Computer Animation 1995	Franck Magnant	awarded
Computer Music 1993	Andrew Lewis	awarded
Net Vision / Net Excellence 2002	schoenerwissen / OfCD	awarded
Gerhard Johann Lischka	Computer Animation 1993	jurymember in
Computer Music 1995	Stephan Dunkelmann	awarded
.net 1998	Paul Garrin	awarded
.net 1998	Michael Wagner	awarded
Computer Animation/Visual Effects 2006	Stuart Maschwitz	awarded
[the next idea] Art and Technology Grant 2006	Himanshu Khatri	awarded
Computer Graphics 1990	Bill Davison	awarded
Computer Animation / Visual Effects 2001	Aurélien Delpoux	awarded
Gunther Reisinger	Statment of the Digital Communities 2008	jurymember in
Daniela Pühringer	[the next idea] Art and Technology Grant 2006	jurymember in
Interactive Art 1999	Uli Winters	awarded
Computer Music 1997	Kui Dong	awarded
Michael Naimark	Interactive Art 1998	jurymember in
.net 1997	Rycharde Hawkes	awarded
cybergeneration-u19 freestyle computing 2000	Projektgruppe Brandfall	awarded
Computer Graphics 1990	Yoshiyuki Abe	awarded
Mark Dippé	Computer Animation / Visual Effects 1998	jurymember in
.net 2000	Kazushi Mukaiyama	awarded
Interactive Art 2003	Margarete Jahrmann	awarded
u19 - freestyle computing 2008	Stefan Troller	awarded
Interactive Art 2000	Tomoko Ueyama	awarded
Digital Communities 2007	Electronic Frontier Foundation	awarded
Claus Pias	Media.Art.Research Award 2007	jurymember in
Digital Musics 2007	Aaron Thall	awarded
.net 2000	Patrick Lichty	awarded
Hiroshi Ishii	Interactive Art 2004	jurymember in
Computer Graphics 1993	Michael Tolson	awarded
Werner Jauk	Computer Music 1995	jurymember in
cybergeneration-u19 freestyle computing 2003	Dominik Dorn	awarded
u19 - freestyle computing 2006	Krmpf Krmpf Studios	awarded
Computer Animation 1991	Rashel B de F	awarded
Interactive Art 2001	Haruki Nishijima	awarded
Interactive Art 1993	Agnes Hegedüs	awarded
Net Vision 2004	Alessandro Ludovico	awarded
World Wide Web 1996	Lisa Hutton	awarded
Interactive Art 2002	The Synthetic Character Group	awarded
Elaine W. Ng	Interactive Art 2004	jurymember in
Interactive Art 2000	Paul Sermon	awarded
Casey Reas	Net Vision 2004	jurymember in
Naut Humon	Digital Musics 2002	jurymember in
John Markoff	.net 2000	jurymember in
Digital Musics 2001	Aeron Bergman	awarded
Net Vision 2005	Benjamin Fry	awarded
Computer Animation/Visual Effects 2006	Jakob Schuh	awarded
Interactive Art 2005	Paul Kaiser	awarded
Computer Animation/Visual Effects 2006	Perrine Marais	awarded
Martin Pieper	cybergeneration-u19 freestyle computing 2003	jurymember in
Interactive Art 1999	Canon ArtLab	awarded
Roger Frank Malina	Interactive Art 1994	jurymember in
Digital Musics 2006	Carsten Stabenow	awarded
Loren Carpenter	Computer Animation / Visual Effects 2003	jurymember in
Computer Animation 1990	Philippe Andrevon	awarded
Interactive Art 1993	Peter Weibel	awarded
Digital Musics 1999	Bernhard Günter	awarded
Jon Snoddy	Interactive Art 2000	jurymember in
Computer Animation / Visual Effects 2000	Digital Domain	awarded
u19-freestyle computing 2005	Viktoria Buchberger	awarded
John Halas	Computer Graphics 1989	jurymember in
Sabine Breitsameter	Digital Musics 2009	jurymember in
Net Vision / Net Excellence 2003	Amit Pitaru	awarded
Computer Music 1989	Gerald Trimmel	awarded
cybergeneration-u19 freestyle computing 1998	Stephan Mittendorfer	awarded
Computer Animation / Visual Effects 2000	BUF	awarded
cybergeneration-u19 freestyle computing 1998	Alexander Koschier	awarded
Ivanka Stoianova	Computer Music 1995	jurymember in
Interactive Art 1999	F.A.B.R.I.CATORS	awarded
Media.Art.Research Award 2008	Arjen Mulder	awarded
Antye Greie	Digital Musics 2006	jurymember in
Computer Animation 1994	Dennis Muren	awarded
Digital Musics 2009	Steve Heimbecker	awarded
u19 – freestyle computing 2009	Ehrentraud Hager	awarded
Digital Musics 2003	Kevin Drumm	awarded
Digital Communities 2005	Stefan Magdalinski	awarded
Jussi Angeslevä	Interactive Art 2009	jurymember in
Digital Musics 2004	Janek Schaefer	awarded
Computer Animation 1991	Monique Nahas	awarded
Richard Kriesche	Computer Animation 1987	jurymember in
Jean-Baptiste Barrière	Computer Music 1988	jurymember in
Interactive Art 1998	Akitsugu Maebayashi	awarded
Net Vision / Net Excellence 2001	Neeraj Jhanji	awarded
cybergeneration-u19 freestyle computing 2001	Marian Kogler	awarded
Net Vision 2004	Robert Hodgin	awarded
Digital Musics 2003	Tujiko Noriko	awarded
Digital Musics 2006	Lisa	awarded
Interactive Art 1999	Ron McNeil	awarded
Computer Animation 1997	Jim Mitchell	awarded
Digital Musics 2002	Anticon	awarded
Jürgen Hagler	Computer Animation/VFX/Film 2008	jurymember in
Computer Animation / Visual Effects 2003	Jordi Moragues	awarded
Net Vision 2004	Ricardo Miranda Zuñiga	awarded
u19-freestyle computing 2005	David Liftinger	awarded
Sirikit Amann	cybergeneration-u19 freestyle computing 1998	jurymember in
World Wide Web 1996	Maria Winslow	awarded
Digital Musics 2007	Drumcorps	awarded
Thomas Kessler	Computer Music 1989	jurymember in
Net Vision 2005	Casey Reas	awarded
Digital Musics 2001	Ted Apel	awarded
Andreas Broeckmann	.net 1998	jurymember in
Computer Graphics 1994	Anna Gabriele Wagner	awarded
Net Vision 2004	Jonah Peretti	awarded
.net 1999	Jean-Marc Philippe	awarded
Digital Musics 2006	Kensuke Tobitani	awarded
Computer Animation 1988	Tamás Waliczky	awarded
Computer Graphics 1991	Rüdiger Hirt	awarded
Digital Musics 2007	Israel Martínez	awarded
u19 - freestyle computing 2007	Max Hammel	awarded
Computer Animation / Visual Effects 2000	Dariusz Krzeczek	awarded
Interactive Art 2003	Agnes Meyer-Brandis	awarded
u19-freestyle computing 2004	David Haslinger	awarded
Computeranimation / Visual Effects 2002	Pete Docter	awarded
Digital Musics 2006	Ugh	awarded
Karel Dudesek	Net Vision 2005	jurymember in
Martin Nürnberger	u19-freestyle computing 2004	jurymember in
u19-freestyle computing 2005	Sara Wilnauer	awarded
.net 1997	Amy Alexander	awarded
Digital Musics 2005	John Oswald	awarded
Digital Communities 2004	Krebs-Kompass	awarded
Interactive Art 2009	Osman Khan	awarded
cybergeneration-u19 freestyle computing 2003	Nikolaus Mikschofsky	awarded
Computer Animation 1987	Mario Canali	awarded
Computer Animation 1994	Eric Darnell	awarded
Computer Music 1998	Gordon Monahan	awarded
Samuel Black	Computer Animation/Visual Effects 2005	jurymember in
Joichi Ito	Digital Communities 2005	jurymember in
Interactive Art 1995	Mihoko Kosugi	awarded
Lance Williams	Computer Animation / Visual Effects 2004	jurymember in
Hybrid Art 2009	Robin Fox	awarded
Blevin Blectum	Digital Musics 2002	jurymember in
Computer Animation/Visual Effects 2006	Kei Oyama	awarded
Interactive Art 1996	Knowbotic Research	awarded
Alfred Nemeczek	Computer Animation 1990	jurymember in
Net Vision / Net Excellence 2002	It&	awarded
Digital Musics 2009	Jean-Jacques Birgé	awarded
u19 – freestyle computing 2009	5A der HLW des Schulvereins der Kreuzschwestern	awarded
Computeranimation / Visual Effects 2002	Lee Unkrich	awarded
David Toop	Digital Musics 2003	jurymember in
Computer Animation 1992	Keith Hunter	awarded
Interactive Art 2004	Tatsuo Miyajima	awarded
u19-freestyle computing 2004	Michael Mayrhofer-Reinhartshuber	awarded
Computer Animation/VFX/Film 2008	Richard Sunter	awarded
Interactive Art 2007	Gabriel Barcia-Colombo	awarded
Digital Musics 2003	Taku Sugimoto	awarded
Digital Communities 2004	Children With Diabetes	awarded
Interactive Art 2000	Orit Kruglanski	awarded
Computer Animation / VFX / Film 2007	Grzegorz Jonkajtys	awarded
Computer Animation 1990	William Latham	awarded
Digital Communities 2006	Günther Kolar	awarded
cybergeneration-u19 freestyle computing 1998	Die anonymen Titaniker	awarded
Computer Animation / Visual Effects 2000	Cécile Gonard	awarded
Digital Musics 2000	Kevin Drumm	awarded
Computer Animation 1988	Paul Coudsi	awarded
Digital Musics 2000	Martin Brandlmayr	awarded
Computer Music 1998	Simone Simons	awarded
Computer Animation/Visual Effects 2006	Stephan Larson	awarded
Loren Carpenter	Computer Animation 1990	jurymember in
Computer Animation 1996	John Clyne	awarded
Interactive Art 2005	Mikami Seiko	awarded
Digital Musics 2009	Manuel Rocha Iturbide	awarded
Interactive Art 2008	Julius von Bismarck	awarded
u19 - freestyle computing 2007	Josef Koller	awarded
Digital Musics 2009	Max Neuhaus	awarded
Interactive Art 1998	Jim Sosnin	awarded
Computer Music 1993		awarded
Digital Musics 1999	Rose Dodd	awarded
Computer Graphics 1994	Michael Joaquin Grey	awarded
u19 - freestyle computing 2007	Hannah Schnabellehner	awarded
Net Vision 2004	Creative Commons	awarded
Peter Kogler	Computer Animation 1989	jurymember in
Chris Salter	Media.Art.Research Award 2008	jurymember in
Computer Music 1997	Régis Renouard Larivière	awarded
Computer Animation/VFX/Film 2008	Drew Hemment	awarded
Computer Animation / Visual Effects 2001	Jason Wen	awarded
Hans Peter Schwarz	Interactive Art 1998	jurymember in
Elaine W. Ng	Hybrid Art 2007	jurymember in
u19 - freestyle computing 2008	Nina Kutschera	awarded
Interactive Art 1997	Jerry Hesketh	awarded
Computer Animation / Visual Effects 1999	Erwin Charrier	awarded
Milan Knizak	Computer Graphics 1992	jurymember in
Pete Barr-Watson	Net Vision / Net Excellence 2001	jurymember in
Digital Communities 2005	Fafah Togora	awarded
Interactive Art 1990	Tamás Waliczky	awarded
Interactive Art 2005	Mark Allen	awarded
Computer Animation 1997	Michel Gondry	awarded
Barbara Robertson	Computer Animation / Visual Effects 2001	jurymember in
cybergeneration-u19 freestyle computing 1999	Sebastian Endt	awarded
Computer Animation / Film / VFX 2009		awarded
Hybrid Art 2009	Kaoru Kobata	awarded
Jane Metcalfe	Digital Communities 2004	jurymember in
Computer Animation 1989	John Lasseter	awarded
Interactive Art 1994	Catherine Richards	awarded
Computer Animation 1997	Scott Squires	awarded
u19-freestyle computing 2005	Ute Greiner	awarded
Computer Graphics 1991	Yoshiyuki Abe	awarded
Digital Musics 2006	Matmos	awarded
Computer Graphics 1990	Andreas Henrich	awarded
Digital Musics 2000	Andrew Daniel	awarded
Larry Cuba	Computer Animation / Visual Effects 1998	jurymember in
Karin Ohlenschläger	Interactive Art 2006	jurymember in
Computer Graphics 1990	Joseph Nechvatal	awarded
World Wide Web 1995	Klaus Johannes Rusch	awarded
Computeranimation / Visual Effects 2002	Lars Magnus Holmgren	awarded
Interactive Art 2005	Marc Downie	awarded
Computer Music 1997	Gordon Monahan	awarded
Computer Music 1997	Christian Calon	awarded
Computer Graphics 1989	Anne-Marie Pécheur	awarded
Interactive Art 1999	Bill Keays	awarded
Computer Animation 1992	Cécile Babiole	awarded
Jon Snoddy	Interactive Art 1999	jurymember in
.net 2000	Gundula Markeffsky	awarded
Computer Animation / Film / VFX 2009	Peter Gabriel	awarded
u19 - freestyle computing 2008	Simon Menschhorn	awarded
Computer Animation 1987	Eihachiro Nakamae	awarded
Computeranimation / Visual Effects 2002	Dreamworks	awarded
Yan Gong	Hybrid Art 2008	jurymember in
Computer Music 1995	Christian Calon	awarded
Computer Music 1990	Jonathan Harvey	awarded
Digital Musics 2005	Julien Roy	awarded
u19 - freestyle computing 2007	Nina Leopold	awarded
Computer Music 1989	Michael McNabb	awarded
Dieter Kaufmann	Computer Music 1989	jurymember in
Karin Spaink	World Wide Web 1996	jurymember in
Computer Animation / Visual Effects 2003	Pete Docter	awarded
Donna Cox	Interactive Art 1991	jurymember in
Interactive Art 2006	Zachary Lieberman	awarded
Digital Musics 2005	Eliane Radigue	awarded
Christiane Paul	Media.Art.Research Award 2007	jurymember in
Computer Animation / Visual Effects 2000	Yasuo Ohba	awarded
u19 - freestyle computing 2007	Andreas Kraxberger	awarded
Digital Musics 2001	Richard Chartier	awarded
Interactive Art 2000		awarded
cybergeneration-u19 freestyle computing 1998	Kathrin Meralla	awarded
Interactive Art 2002	Supreme Particles	awarded
u19 - freestyle computing 2007	Christoph Rainer	awarded
Hybrid Art 2009	Shiho Fukuhara	awarded
Computer Music 1992	Stéphane Roy	awarded
Net Vision 2005	Marius Watz	awarded
Elisabeth Schimana	Digital Musics 2007	jurymember in
Helga de la Motte-Haber	Computer Music 1987	jurymember in
u19 - freestyle computing 2008	Simon Groihofer	awarded
u19 – freestyle computing 2009	Matej Petrek	awarded
Interactive Art 1996		awarded
Net Vision / Net Excellence 2003	Axel Heide	awarded
World Wide Web 1996	Kevin McCurley	awarded
u19-freestyle computing 2004	Gerald Gradwohl	awarded
Digital Musics 2008	Satoshi Morita	awarded
Computer Animation / Visual Effects 2000	Chitra Shriram	awarded
Hybrid Art 2009	Ichikawa Sota; Sota Ichikawa	awarded
Net Vision 2006	Roxana Torre	awarded
Interactive Art 1997	Paul Garrin	awarded
Hybrid Art 2009	Evelina Domnitch	awarded
Perry Hoberman	Interactive Art 1997	jurymember in
Computer Animation 1994	Michel Gondry	awarded
Interactive Art 2008	Yoko Ishii	awarded
Computer Animation / Visual Effects 2001	Julien Charles	awarded
Computer Animation 1992	Alan Norton	awarded
Computer Animation / Visual Effects 2004	Thibault Deloof	awarded
Interactive Art 2000	The Institute for Applied Autonomy	awarded
Roy Ascott	Interactive Art 1994	jurymember in
André Lemos	Digital Communities 2007	jurymember in
Sirikit Amann	cybergeneration-u19 freestyle computing 2000	jurymember in
Computer Graphics 1987	Arghyro Paouri	awarded
Computer Animation 1989	Joan Staveley	awarded
Söke Dinkla	Interactive Art 2007	jurymember in
Net Vision 2005	Konstantin Demblin	awarded
Computer Animation/Visual Effects 2006	PSYOP	awarded
Lars-Gunnar Bodin	Computer Music 1994	jurymember in
Computer Animation / Visual Effects 1998	Liang-Yuan Wang	awarded
Digital Musics 2002	Aeron Bergman	awarded
Digital Musics 1999	Gaëtan Collet	awarded
Computer Animation / Visual Effects 1998	Martin Koch	awarded
[the next idea] Art and Technology Grant 2009	Laura Beloff	awarded
Shuzo John Shiota	Computer Animation / Film / VFX 2009	jurymember in
Computer Animation / Visual Effects 2003	Olivier Lanerès	awarded
u19 - freestyle computing 2007	Alexander Grasser	awarded
Computer Animation / Visual Effects 2000	Max Zimmermann	awarded
u19-freestyle computing 2005	3A-Klasse (VS 2 Linz)	awarded
Interactive Art 2003	Justin Manor	awarded
Computer Music 1997	John Young	awarded
cybergeneration-u19 freestyle computing 2003	Tobias Schererbauer	awarded
Computer Animation/Visual Effects 2005	Ben Snow	awarded
Computer Graphics 1994	Ned Greene	awarded
Olia Lialina	Media.Art.Research Award 2007	jurymember in
Computer Animation/Visual Effects 2005	Laurent Bourdoiseau	awarded
Computer Animation / Visual Effects 1998	Kaori Saito	awarded
Digital Musics 2004	Ikue Mori	awarded
Interactive Art 2000	Rafael Lozano-Hemmer	awarded
Gunalan Nadarajan	Digital Communities 2007	jurymember in
Computer Graphics 1993	Jean-François Colonna	awarded
